Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
5, Our min len JW one sided;1;1;Yes;0.4802367687225342;186;181;27038;35298;0.7659924075018415;112460;12005;729;17;2371;542;458
5, Our min len JW one sided;1;2;Yes;0.3980672359466553;190;183;26031;33253;0.7828165879770246;98036;12005;729;17;2371;542;458
5, Our min len JW one sided;1;3;Yes;0.3725130558013916;164;157;23572;30393;0.7755733228045931;93057;12005;729;17;2371;542;458
5, Our min len JW one sided;1;4;Yes;0.6016535758972168;320;313;41582;53026;0.7841813450005658;146788;12005;729;17;2371;542;458
5, Our min len JW one sided;1;5;Yes;0.4695146083831787;214;208;30617;39280;0.7794551934826884;117042;12005;729;17;2371;542;458
5, Our min len JW one sided;2;1;Yes;0.4360647201538086;200;192;28303;35506;0.7971328789500366;96659;12005;729;17;2489;552;453
5, Our min len JW one sided;2;2;Yes;0.42926883697509766;201;195;28134;35510;0.7922838637003661;98809;12005;729;17;2489;552;453
5, Our min len JW one sided;2;3;Yes;0.37557053565979004;163;153;23667;29781;0.7947013196333232;84160;12005;729;17;2489;552;453
5, Our min len JW one sided;2;4;Yes;0.3988006114959717;192;185;26077;33298;0.7831401285362484;97104;12005;729;17;2489;552;453
5, Our min len JW one sided;2;5;Yes;0.5132684707641602;241;236;33650;42143;0.7984718695868828;115267;12005;729;17;2489;552;453
5, Our min len JW one sided;3;1;Yes;0.5094850063323975;228;225;33401;42964;0.7774183036961176;130816;12005;729;17;2410;546;456
5, Our min len JW one sided;3;2;Yes;0.6170475482940674;288;284;40829;52392;0.7792983661627729;156269;12005;729;17;2410;546;456
5, Our min len JW one sided;3;3;Yes;0.35884594917297363;151;146;22699;29059;0.7811349323789532;90004;12005;729;17;2410;546;456
5, Our min len JW one sided;3;4;Yes;0.38112378120422363;169;165;24772;31857;0.7775998995511191;97881;12005;729;17;2410;546;456
5, Our min len JW one sided;3;5;Yes;0.351757287979126;144;139;22154;28223;0.7849626191404174;86596;12005;729;17;2410;546;456
5, Our min len JW one sided;4;1;Yes;0.05858206748962402;10;4;2159;2900;0.7444827586206897;15521;12005;729;17;2531;564;447
5, Our min len JW one sided;4;2;Yes;0.07696652412414551;12;4;2805;3867;0.7253685027152832;19653;12005;729;17;2531;564;447
5, Our min len JW one sided;4;3;Yes;0.06945538520812988;10;4;2159;2900;0.7444827586206897;15529;12005;729;17;2531;564;447
5, Our min len JW one sided;4;4;Yes;0.06470942497253418;12;3;2659;3459;0.7687192830297774;16106;12005;729;17;2531;564;447
5, Our min len JW one sided;4;5;Yes;0.059928178787231445;10;3;2201;3005;0.7324459234608985;16117;12005;729;17;2531;564;447
5, Our min len JW one sided;5;1;Yes;0.22296619415283203;78;75;12144;16343;0.7430704277060515;59026;12005;729;17;2489;568;445
5, Our min len JW one sided;5;2;Yes;0.09559392929077148;15;12;3441;4827;0.7128651336233686;25145;12005;729;17;2489;568;445
5, Our min len JW one sided;5;3;Yes;0.051996469497680664;8;2;1533;2419;0.6337329474989665;17301;12005;729;17;2489;568;445
5, Our min len JW one sided;5;4;Yes;0.08051133155822754;16;10;2887;3917;0.7370436558590758;19242;12005;729;17;2489;568;445
5, Our min len JW one sided;5;5;Yes;0.16936779022216797;45;40;9328;12150;0.7677366255144032;45281;12005;729;17;2489;568;445
5, Our min len JW one sided;6;1;Yes;0.6938977241516113;258;256;43991;54217;0.8113875721637125;148923;12005;729;17;2267;524;467
5, Our min len JW one sided;6;2;Yes;0.92293381690979;366;361;61500;75136;0.8185157580919932;195462;12005;729;17;2267;524;467
5, Our min len JW one sided;6;3;Yes;0.7749764919281006;297;293;50523;61433;0.8224081519704394;158854;12005;729;17;2267;524;467
5, Our min len JW one sided;6;4;Yes;0.6993691921234131;261;261;43599;53715;0.8116727171181234;147591;12005;729;17;2267;524;467
5, Our min len JW one sided;6;5;Yes;0.6348898410797119;215;207;38091;45947;0.8290203930615709;118171;12005;729;17;2267;524;467
5, Our min len JW one sided;7;1;Yes;0.09923624992370605;27;19;4665;6196;0.7529051000645578;25826;12005;729;17;2129;502;478
5, Our min len JW one sided;7;2;Yes;0.0620725154876709;12;4;2510;3378;0.7430432208407342;17396;12005;729;17;2129;502;478
5, Our min len JW one sided;7;3;Yes;0.0793294906616211;20;10;3632;4857;0.747786699608812;21785;12005;729;17;2129;502;478
5, Our min len JW one sided;7;4;Yes;0.09353446960449219;23;17;4282;6052;0.7075346992729676;28965;12005;729;17;2129;502;478
5, Our min len JW one sided;7;5;Yes;0.08185100555419922;24;16;4112;5527;0.7439840781617514;24298;12005;729;17;2129;502;478
5, Our min len JW one sided;8;1;Yes;0.09393095970153809;14;10;2965;4036;0.7346382556987116;19843;12005;729;17;2428;556;451
5, Our min len JW one sided;8;2;Yes;0.12791705131530762;29;27;6226;8065;0.7719776813391197;31238;12005;729;17;2428;556;451
5, Our min len JW one sided;8;3;Yes;0.0984046459197998;21;18;4298;5791;0.7421861509238473;25909;12005;729;17;2428;556;451
5, Our min len JW one sided;8;4;Yes;0.09118866920471191;15;12;3792;5471;0.6931091208188631;29090;12005;729;17;2428;556;451
5, Our min len JW one sided;8;5;Yes;0.09534764289855957;22;18;4416;5790;0.7626943005181347;24148;12005;729;17;2428;556;451
5, Our min len JW one sided;9;1;Yes;0.06439995765686035;12;4;2303;3161;0.7285669092059475;17146;12005;729;17;2130;502;478
5, Our min len JW one sided;9;2;Yes;0.05945253372192383;7;0;1638;2316;0.7072538860103627;14764;12005;729;17;2130;502;478
5, Our min len JW one sided;9;3;Yes;0.0494694709777832;7;0;1638;2316;0.7072538860103627;14764;12005;729;17;2130;502;478
5, Our min len JW one sided;9;4;Yes;0.05071735382080078;7;0;1607;2285;0.7032822757111598;14764;12005;729;17;2130;502;478
5, Our min len JW one sided;9;5;Yes;0.06083559989929199;10;0;2083;2752;0.7569040697674418;14747;12005;729;17;2130;502;478
5, Our min len JW one sided;10;1;Yes;0.1803288459777832;52;50;9932;12717;0.7810018086026579;42972;12005;729;17;2459;560;449
5, Our min len JW one sided;10;2;Yes;0.10144901275634766;21;18;4476;6225;0.7190361445783132;29474;12005;729;17;2459;560;449
5, Our min len JW one sided;10;3;Yes;0.05483508110046387;7;3;1889;2711;0.6967908520841019;16782;12005;729;17;2459;560;449
5, Our min len JW one sided;10;4;Yes;0.14949703216552734;43;39;8193;10596;0.7732163080407701;37605;12005;729;17;2459;560;449
5, Our min len JW one sided;10;5;Yes;0.05879545211791992;7;2;1752;2471;0.7090246863617968;15323;12005;729;17;2459;560;449
5, Our min len JW one sided;11;1;Yes;0.21590089797973633;80;75;12135;16666;0.7281291251650066;66085;12005;729;17;1915;458;500
5, Our min len JW one sided;11;2;Yes;0.19220232963562012;81;76;11519;15600;0.7383974358974359;59613;12005;729;17;1915;458;500
5, Our min len JW one sided;11;3;Yes;0.1774277687072754;71;66;10886;14907;0.7302609512309653;59274;12005;729;17;1915;458;500
5, Our min len JW one sided;11;4;Yes;0.1925656795501709;76;73;11360;15539;0.7310637750176974;61507;12005;729;17;1915;458;500
5, Our min len JW one sided;11;5;Yes;0.22877979278564453;92;89;13780;18871;0.7302209739812411;73394;12005;729;17;1915;458;500
5, Our min len JW one sided;12;1;Yes;0.19708800315856934;76;74;11488;16224;0.7080867850098619;65456;12013;729;25;1589;416;521
5, Our min len JW one sided;12;2;Yes;0.14505267143249512;50;48;7885;11150;0.7071748878923767;48420;12013;729;25;1589;416;521
5, Our min len JW one sided;12;3;Yes;0.14700722694396973;50;44;7978;11237;0.7099759722345822;47704;12013;729;25;1589;416;521
5, Our min len JW one sided;12;4;Yes;0.13860130310058594;54;47;8030;11376;0.7058720112517581;47987;12013;729;25;1589;416;521
5, Our min len JW one sided;12;5;Yes;0.13208818435668945;43;36;7058;10008;0.7052358113509193;42988;12013;729;25;1589;416;521
5, Our min len JW one sided;13;1;Yes;0.05279707908630371;10;8;1805;2876;0.6276077885952712;19662;12009;729;21;1879;478;490
5, Our min len JW one sided;13;2;Yes;0.07143473625183105;15;13;2475;3758;0.6585949973390101;21979;12009;729;21;1879;478;490
5, Our min len JW one sided;13;3;Yes;0.05473804473876953;11;9;1931;2966;0.6510451786918409;19206;12009;729;21;1879;478;490
5, Our min len JW one sided;13;4;Yes;0.06321358680725098;15;12;2467;3723;0.6626376578028471;21523;12009;729;21;1879;478;490
5, Our min len JW one sided;13;5;Yes;0.06987571716308594;15;12;2467;3723;0.6626376578028471;21523;12009;729;21;1879;478;490
5, Our min len JW one sided;14;1;Yes;0.3234894275665283;99;98;18810;24817;0.7579481806825966;88719;12005;729;17;2364;540;459
5, Our min len JW one sided;14;2;Yes;0.10160255432128906;22;19;3980;5783;0.6882241051357427;30401;12005;729;17;2364;540;459
5, Our min len JW one sided;14;3;Yes;0.11509943008422852;26;23;5017;7296;0.6876370614035088;36641;12005;729;17;2364;540;459
5, Our min len JW one sided;14;4;Yes;0.23987245559692383;72;70;12789;17607;0.7263588345544386;70651;12005;729;17;2364;540;459
5, Our min len JW one sided;14;5;Yes;0.13486838340759277;35;34;6119;8674;0.7054415494581507;40524;12005;729;17;2364;540;459
5, Our min len JW one sided;15;1;Yes;0.15271711349487305;58;53;8014;10937;0.7327420682088324;42858;12005;729;17;1986;482;488
5, Our min len JW one sided;15;2;Yes;0.14849567413330078;61;59;8402;11809;0.7114912354983487;47965;12005;729;17;1986;482;488
5, Our min len JW one sided;15;3;Yes;0.0845344066619873;20;16;3581;5094;0.7029839026305458;25874;12005;729;17;1986;482;488
5, Our min len JW one sided;15;4;Yes;0.11712193489074707;45;40;6440;8708;0.7395498392282959;34438;12005;729;17;1986;482;488
5, Our min len JW one sided;15;5;Yes;0.0830087661743164;17;12;3116;4582;0.6800523788738542;24829;12005;729;17;1986;482;488
5, Our min len JW one sided;16;1;Yes;0.1343846321105957;41;39;6934;9700;0.7148453608247423;43374;12005;729;17;1919;458;500
5, Our min len JW one sided;16;2;Yes;0.18369269371032715;58;55;9869;13840;0.713078034682081;58901;12005;729;17;1919;458;500
5, Our min len JW one sided;16;3;Yes;0.15323781967163086;44;42;7670;10807;0.7097251781252891;48105;12005;729;17;1919;458;500
5, Our min len JW one sided;16;4;Yes;0.1334395408630371;40;37;6599;9214;0.7161927501627957;40964;12005;729;17;1919;458;500
5, Our min len JW one sided;16;5;Yes;0.12858819961547852;39;37;6871;9621;0.7141669265149153;43466;12005;729;17;1919;458;500
5, Our min len JW one sided;17;1;Yes;0.1990818977355957;94;90;11367;15925;0.7137833594976453;60385;12010;729;22;1678;434;512
5, Our min len JW one sided;17;2;Yes;0.1654365062713623;71;65;9023;12439;0.7253798536859877;47280;12010;729;22;1678;434;512
5, Our min len JW one sided;17;3;Yes;0.16989731788635254;67;65;9180;13211;0.6948754825524185;55251;12010;729;22;1678;434;512
5, Our min len JW one sided;17;4;Yes;0.1929306983947754;86;80;11619;16234;0.7157200936306517;61872;12010;729;22;1678;434;512
5, Our min len JW one sided;17;5;Yes;0.2044968605041504;94;92;11611;16628;0.6982800096223238;66530;12010;729;22;1678;434;512
5, Our min len JW one sided;18;1;Yes;0.11448311805725098;34;28;5523;7387;0.7476648165696493;29704;12005;729;17;2224;518;470
5, Our min len JW one sided;18;2;Yes;0.32662129402160645;106;100;19122;24369;0.7846854610365629;79541;12005;729;17;2224;518;470
5, Our min len JW one sided;18;3;Yes;0.07510876655578613;17;11;3419;4433;0.7712609970674487;19626;12005;729;17;2224;518;470
5, Our min len JW one sided;18;4;Yes;0.12244033813476562;41;37;6212;8158;0.7614611424368718;31721;12005;729;17;2224;518;470
5, Our min len JW one sided;18;5;Yes;0.3315916061401367;123;117;20163;25949;0.7770241627808393;84323;12005;729;17;2224;518;470
5, Our min len JW one sided;19;1;Yes;0.05926799774169922;9;4;1742;2747;0.6341463414634146;19321;12011;729;23;1727;416;521
5, Our min len JW one sided;19;2;Yes;0.10019755363464355;28;24;4631;6828;0.6782366725248975;34872;12011;729;23;1727;416;521
5, Our min len JW one sided;19;3;Yes;0.06592559814453125;14;9;2404;3706;0.6486778197517539;23110;12011;729;23;1727;416;521
5, Our min len JW one sided;19;4;Yes;0.0938720703125;26;21;3778;5694;0.6635054443273621;31251;12011;729;23;1727;416;521
5, Our min len JW one sided;19;5;Yes;0.08287358283996582;22;17;3510;5117;0.6859487981239007;27183;12011;729;23;1727;416;521
5, Our min len JW one sided;20;1;Yes;0.06678557395935059;14;12;2716;4328;0.6275415896487985;26034;12013;729;25;1520;418;520
5, Our min len JW one sided;20;2;Yes;0.07922959327697754;16;14;3033;4644;0.6531007751937985;26501;12013;729;25;1520;418;520
5, Our min len JW one sided;20;3;Yes;0.10245060920715332;29;27;5161;7547;0.683847886577448;35932;12013;729;25;1520;418;520
5, Our min len JW one sided;20;4;Yes;0.10852241516113281;31;28;5382;7831;0.687268548078151;36470;12013;729;25;1520;418;520
5, Our min len JW one sided;20;5;Yes;0.0761113166809082;19;16;3215;4918;0.653721024806832;27146;12013;729;25;1520;418;520
5, Our min len JW one sided;21;1;Yes;0.10474967956542969;21;16;4485;6088;0.7366951379763469;27401;12005;729;17;2458;552;453
5, Our min len JW one sided;21;2;Yes;0.06430196762084961;6;0;1592;2289;0.6955002184359983;14829;12005;729;17;2458;552;453
5, Our min len JW one sided;21;3;Yes;0.06466221809387207;10;5;2263;3199;0.7074085651766177;18320;12005;729;17;2458;552;453
5, Our min len JW one sided;21;4;Yes;0.06679964065551758;11;2;2481;3259;0.7612764651733661;16132;12005;729;17;2458;552;453
5, Our min len JW one sided;21;5;Yes;0.043348073959350586;4;0;1114;1807;0.616491422246818;14811;12005;729;17;2458;552;453
5, Our min len JW one sided;22;1;Yes;0.13172030448913574;50;46;5958;8502;0.7007762879322512;37291;12012;729;24;1506;398;530
5, Our min len JW one sided;22;2;Yes;0.1126546859741211;43;41;5188;7641;0.6789687213715482;35705;12012;729;24;1506;398;530
5, Our min len JW one sided;22;3;Yes;0.03326845169067383;2;0;474;1148;0.41289198606271776;14734;12012;729;24;1506;398;530
5, Our min len JW one sided;22;4;Yes;0.04004073143005371;5;3;851;1649;0.5160703456640389;16165;12012;729;24;1506;398;530
5, Our min len JW one sided;22;5;Yes;0.04532599449157715;4;0;778;1446;0.5380359612724758;14718;12012;729;24;1506;398;530
5, Our min len JW one sided;23;1;Yes;0.06215023994445801;20;12;2762;3741;0.7383052659716653;18220;12005;729;17;1772;448;505
5, Our min len JW one sided;23;2;Yes;0.060939788818359375;16;9;2394;3405;0.7030837004405286;18534;12005;729;17;1772;448;505
5, Our min len JW one sided;23;3;Yes;0.10581469535827637;37;31;5221;6953;0.7508988925643607;27479;12005;729;17;1772;448;505
5, Our min len JW one sided;23;4;Yes;0.10335373878479004;38;32;5594;7231;0.7736136080763379;27354;12005;729;17;1772;448;505
5, Our min len JW one sided;23;5;Yes;0.10776257514953613;39;31;5472;7279;0.7517516142327243;28570;12005;729;17;1772;448;505
5, Our min len JW one sided;24;1;Yes;0.21477961540222168;84;82;12947;17021;0.7606486105399213;59151;12011;729;23;1759;446;506
5, Our min len JW one sided;24;2;Yes;0.21912503242492676;89;85;13467;17575;0.7662588904694168;59209;12011;729;23;1759;446;506
5, Our min len JW one sided;24;3;Yes;0.2950594425201416;128;126;19039;25150;0.7570178926441352;83668;12011;729;23;1759;446;506
5, Our min len JW one sided;24;4;Yes;0.2949867248535156;127;126;18787;24709;0.760330244040633;81944;12011;729;23;1759;446;506
5, Our min len JW one sided;24;5;Yes;0.2521779537200928;110;105;16394;21259;0.771155745801778;69378;12011;729;23;1759;446;506
5, Our min len JW one sided;25;1;Yes;0.08160614967346191;28;28;3785;6008;0.6299933422103862;32626;12011;729;23;1332;356;551
5, Our min len JW one sided;25;2;Yes;0.09552431106567383;37;37;4175;6602;0.6323841260224174;34361;12011;729;23;1332;356;551
5, Our min len JW one sided;25;3;Yes;0.044475555419921875;5;4;981;1929;0.5085536547433903;18162;12011;729;23;1332;356;551
5, Our min len JW one sided;25;4;Yes;0.08077406883239746;34;34;3884;5988;0.648630594522378;31231;12011;729;23;1332;356;551
5, Our min len JW one sided;25;5;Yes;0.09163379669189453;35;35;4284;6547;0.6543455017565297;33331;12011;729;23;1332;356;551
5, Our min len JW one sided;26;1;Yes;0.07675409317016602;20;16;3262;4430;0.7363431151241535;21644;12005;729;17;2443;534;462
5, Our min len JW one sided;26;2;Yes;0.13293671607971191;42;38;6044;8242;0.7333171560300897;34243;12005;729;17;2443;534;462
5, Our min len JW one sided;26;3;Yes;0.12105846405029297;43;39;6256;8179;0.7648856828463138;32250;12005;729;17;2443;534;462
5, Our min len JW one sided;26;4;Yes;0.09828305244445801;29;26;4373;6010;0.7276206322795341;27700;12005;729;17;2443;534;462
5, Our min len JW one sided;26;5;Yes;0.15982556343078613;57;54;8463;10961;0.7721010856673661;39692;12005;729;17;2443;534;462
5, Our min len JW one sided;27;1;Yes;0.08902263641357422;36;30;4827;6442;0.7493014591741695;25770;12005;729;17;1971;478;490
5, Our min len JW one sided;27;2;Yes;0.19752240180969238;83;79;11330;15092;0.750728862973761;53226;12005;729;17;1971;478;490
5, Our min len JW one sided;27;3;Yes;0.20732975006103516;86;82;12501;16533;0.7561241154055526;56849;12005;729;17;1971;478;490
5, Our min len JW one sided;27;4;Yes;0.1301734447479248;54;49;6891;9281;0.7424846460510721;34929;12005;729;17;1971;478;490
5, Our min len JW one sided;27;5;Yes;0.11728572845458984;42;38;6357;8619;0.7375565610859729;34590;12005;729;17;1971;478;490
5, Our min len JW one sided;28;1;Yes;0.1273634433746338;38;35;6101;8805;0.6929017603634299;41553;12005;729;17;1831;446;506
5, Our min len JW one sided;28;2;Yes;0.11583638191223145;36;34;5704;8168;0.6983349657198825;38965;12005;729;17;1831;446;506
5, Our min len JW one sided;28;3;Yes;0.16602325439453125;55;54;8882;12676;0.700694225307668;56778;12005;729;17;1831;446;506
5, Our min len JW one sided;28;4;Yes;0.10567688941955566;27;23;4495;6603;0.6807511737089202;33843;12005;729;17;1831;446;506
5, Our min len JW one sided;28;5;Yes;0.08800339698791504;24;20;4043;5951;0.6793816165350361;30898;12005;729;17;1831;446;506
